,web-scraper-order,web-scraper-start-url,Book_name,price,condition,image-src
869,1543863142-2679,https://www.rulistings.com/Books,Chemistry Structure and Properties 1st edition,75,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/a6487915-709e-41b7-b515-bd78ebf221f9_1516304359327thumb.jpg
870,1543863142-1998,https://www.rulistings.com/Books,Statistics for Business and Economics 12th edition,3,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/ee31917b-288c-464e-8086-8b8be1deebb4_1505095812969thumb.jpg
871,1543863142-1872,https://www.rulistings.com/Books,Several books 1st edition,5,Acceptable condition,https://rulistingsprod.blob.core.windows.net/rutgers/541943e6-860c-4df3-b4aa-f728b73c939a_1516427019835thumb.jpg
872,1543863142-2125,https://www.rulistings.com/Books,Statistics for Business 12th edition,50,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/9058f0da-dafc-4fb6-a4aa-664b7fa72f7d_1504986026564thumb.jpg
873,1543863142-1754,https://www.rulistings.com/Books,Organic Chemistry Laboratory 311 Macroscale and Microscale Experiments (Rutgers Edition) 6th edition,50,Like New condition,https://rulistingsprod.blob.core.windows.net/rutgers/12804553-a1c5-4082-bbba-2cc2a11d6af0_1536085681402thumb.jpg
874,1543863142-2530,https://www.rulistings.com/Books,Biochemistry Student Companion (8th Edition) 8th edition,15,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/a11ec6b7-f9c8-4040-89b7-9ab95a8d9cbd_1515985623177thumb.jpg
875,1543863142-1498,https://www.rulistings.com/Books,Keys For Writers - With Assignment Guides 7 7th edition,85,Acceptable condition,https://rulistingsprod.blob.core.windows.net/rutgers/05f58a5f-e2be-42d7-906a-cdda1e1951d1_1534694881334thumb.jpg
876,1543863142-2070,https://www.rulistings.com/Books,Beautiful Boy and TWEAK 1st edition,25,Very Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/ad81066f-2073-40d1-8d42-95312d71099b_1501555350733thumb.jpg
877,1543863142-1820,https://www.rulistings.com/Books,Precalculus: Mathematics for Calculus 7th edition,10,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/d18ff763-260c-4a35-92db-101db2c51f62_1515454264476thumb.jpg
878,1543863142-1760,https://www.rulistings.com/Books,Management Skills 1st edition,50,New condition,https://rulistingsprod.blob.core.windows.net/rutgers/f07a617e-a0e0-4767-aca8-13c0a4f0670b_1506466468755thumb.jpg
879,1543863142-2223,https://www.rulistings.com/Books,Statistics for Business and Economics 12th edition,60,Good condition,https://rulistingsprod.blob.core.windows.net/rutgers/ddf77966-27c5-419e-b2d5-c609ba846adc_1537928561517thumb.jpg
